Barcode_i	Barcode_j	C_ij.HetDipl.sum	C_ij.HetDipl.R1	C_ij.HetDipl.R2	C_ij.NoDrug.sum	C_ij.NoDrug.R1	C_ij.NoDrug.R2	C_ij.DMSO.sum	C_ij.DMSO.R1	C_ij.DMSO.R2	C_ij.MMS.sum	C_ij.MMS.R1	C_ij.MMS.R2	C_ij.4NQO.sum	C_ij.4NQO.R1	C_ij.4NQO.R2	C_ij.BLMC.sum	C_ij.BLMC.R1	C_ij.BLMC.R2	C_ij.ZEOC.sum	C_ij.ZEOC.R1	C_ij.ZEOC.R2	C_ij.HYDX.sum	C_ij.HYDX.R1	C_ij.HYDX.R2	C_ij.DXRB.sum	C_ij.DXRB.R1	C_ij.DXRB.R2	C_ij.CMPT.sum	C_ij.CMPT.R1	C_ij.CMPT.R2	C_ij.CSPL.sum	C_ij.CSPL.R1	C_ij.CSPL.R2	Type_of_gene_i	Type_of_gene_j	SOJ_E_NoMMS	SOJ_E_MMS	SOJ_E_SnsM/N	SOJ_Class_NoMMS	SOJ_Class_MMS
HO_donor_1	APT2_recipient_1	325	172	153	191	87	104	175	98	77	234	131	103	200	84	116	242	131	111	210	119	91	221	118	103	217	99	118	273	153	120	201	113	88	Neutral	Neutral	NA	NA	NA	NA	NA
HO_donor_1	GAL2_recipient_1	197	110	87	158	71	87	150	85	65	193	108	85	166	74	92	165	94	71	150	87	63	162	93	69	169	71	98	206	123	83	152	86	66	Neutral	Neutral	NA	NA	NA	NA	NA
HO_donor_1	HO_recipient_1	298	158	140	3	1	2	3	2	1	4	2	2	4	2	2	4	2	2	5	3	2	4	2	2	4	2	2	5	3	2	4	2	2	Neutral	Neutral	NA	NA	NA	NA	NA
HO_donor_1	HO_recipient_2	358	190	168	4	2	2	4	2	2	5	3	2	4	2	2	6	3	3	8	5	3	7	4	3	7	3	4	10	6	4	9	5	4	Neutral	Neutral	NA	NA	NA	NA	NA
HO_donor_1	MAG1_recipient_1	41	21	20	30	13	17	28	15	13	18	10	8	32	14	18	28	16	12	37	21	16	25	13	12	32	15	17	50	29	21	24	14	10	Neutral	DNA_repair	NA	NA	NA	NA	NA
HO_donor_1	MAL13_recipient_1	263	144	119	182	79	103	174	100	74	261	149	112	196	81	115	200	104	96	197	109	88	195	111	84	231	106	125	262	154	108	179	105	74	Neutral	Neutral	NA	NA	NA	NA	NA
HO_donor_1	MMS1_recipient_1	56	31	25	27	11	16	22	12	10	18	10	8	21	9	12	42	23	19	43	24	19	40	22	18	21	10	11	12	7	5	35	21	14	Neutral	DNA_repair	NA	NA	NA	NA	NA
HO_donor_1	MMS4_recipient_1	103	56	47	62	28	34	60	33	27	53	30	23	59	26	33	81	43	38	71	39	32	57	31	26	41	18	23	24	14	10	60	34	26	Neutral	DNA_repair	NA	NA	NA	NA	NA
HO_donor_1	MPH1_recipient_1	52	27	25	32	14	18	29	16	13	26	15	11	25	10	15	36	19	17	60	35	25	26	14	12	33	15	18	59	35	24	33	19	14	Neutral	DNA_repair	NA	NA	NA	NA	NA
HO_donor_1	MUS81_recipient_1	35	19	16	16	7	9	17	9	8	16	9	7	13	5	8	23	12	11	22	12	10	14	8	6	5	2	3	0	0	0	16	10	6	Neutral	DNA_repair	NA	NA	NA	NA	NA
HO_donor_1	NGL3_recipient_1	1540	856	684	1200	564	636	1214	669	545	1614	924	690	1544	661	883	1094	626	468	978	549	429	1123	613	510	1182	543	639	1260	707	553	1137	657	480	Neutral	Neutral	NA	NA	NA	NA	NA
HO_donor_1	CLA4_recipient_1	127	67	60	47	20	27	47	26	21	59	33	26	52	21	31	46	24	22	53	31	22	54	30	24	34	16	18	32	18	14	25	15	10	Neutral	DNA_repair	NA	NA	NA	NA	NA
HO_donor_1	NGL3_recipient_2	279	144	135	307	143	164	285	157	128	413	243	170	332	142	190	243	134	109	239	133	106	250	138	112	313	139	174	326	185	141	233	140	93	Neutral	Neutral	NA	NA	NA	NA	NA
