Barcode_x	Barcode_y	Condition1	Condition2	Type_of_gene_x	Type_of_gene_y	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
RAD5	SGS1	NoDrug	DMSO	DNA_repair	DNA_repair	5.94334696348472	11.2777982458306	0.0352907576857567	0.0945396899344407	NEUTRAL	ALLEVIATING	-5.76757264096887	-0.059248932248684	0.00107621520655303
RAD57	SGS1	NoDrug	DMSO	DNA_repair	DNA_repair	3.10493394330477	9.24732545423011	0.0280385523261536	0.119959811756881	NEUTRAL	ALLEVIATING	-5.815596336742	-0.0919212594307275	0.0010279611127165
SHU1	SHU2	NoDrug	DMSO	DNA_repair	DNA_repair	5.42193079797364	10.9730228037068	0.0457288305500028	0.132341692530781	NEUTRAL	ALLEVIATING	-5.88519597232328	-0.0866128619807779	0.000872431544846048
CSM2	SRS2	NoDrug	DMSO	DNA_repair	DNA_repair	-0.446766583842467	6.05616488419298	-0.00277904871138483	0.0507217938399373	NEUTRAL	ALLEVIATING	-5.12827770328101	-0.0535008425513221	0.00578390913907891
CLA4	CSM2	NoDrug	MMS	DNA_repair	DNA_repair	10.3832294896038	-28.5219250377126	0.0596927497448586	-0.23487592211824	ALLEVIATING	AGGRAVATING	29.3303577530424	0.294568671863098	2.76641348825134e-140
CSM2	MAG1	NoDrug	MMS	DNA_repair	DNA_repair	1.73172758931369	-20.5412111076818	0.0107736243066225	-0.218722325352917	NEUTRAL	AGGRAVATING	18.6094279960134	0.229495949659539	3.33454046804766e-57
CLA4	MMS1	NoDrug	MMS	DNA_repair	DNA_repair	-5.86645773674328	-16.8375755475487	-0.0516807077776086	-0.362920143508617	NEUTRAL	AGGRAVATING	13.366530486982	0.311239435731009	4.84849185827574e-30
MMS1	MMS4	NoDrug	MMS	DNA_repair	DNA_repair	-3.66094340802272	-10.0643186194001	-0.0350900977977838	-0.183171825345051	NEUTRAL	AGGRAVATING	7.19898932065643	0.148081727547267	2.88021219728095e-09
CLA4	MPH1	NoDrug	MMS	DNA_repair	DNA_repair	3.3103863064374	-17.5013554073383	0.0284682726814283	-0.455310438682783	NEUTRAL	AGGRAVATING	17.6560108089478	0.483778711364211	1.42737152409986e-51
CSM2	MPH1	NoDrug	MMS	DNA_repair	DNA_repair	0.452439421390978	6.72153116115532	0.00369119859506535	0.0745713886656267	NEUTRAL	ALLEVIATING	-5.14698761425756	-0.0708801900705613	3.68868853160562e-05
MAG1	MPH1	NoDrug	MMS	DNA_repair	DNA_repair	-2.43350039671507	-9.031112167067	-0.0271246083031869	-0.296563847993258	NEUTRAL	AGGRAVATING	7.76970468930577	0.269439239690072	1.1653232535761e-10
MMS1	MUS81	NoDrug	MMS	DNA_repair	DNA_repair	-3.85734465967118	-6.01392758898684	-0.0492747324492112	-0.162481368840684	NEUTRAL	AGGRAVATING	3.78804458474622	0.113206636391473	0.00403102607385698
CLA4	PSY3	NoDrug	MMS	DNA_repair	DNA_repair	-1.63587942647058	-32.8781540815604	-0.00814205664907254	-0.224141394337759	NEUTRAL	AGGRAVATING	25.5896947984681	0.215999337688686	3.4370217412467e-107
MAG1	PSY3	NoDrug	MMS	DNA_repair	DNA_repair	-0.401045411985497	-27.9183752283303	-0.00210399282815768	-0.282511049322751	NEUTRAL	AGGRAVATING	24.6007875314268	0.280407056494594	3.09035813670715e-99
MMS4	PSY3	NoDrug	MMS	DNA_repair	DNA_repair	3.76833421705625	7.31654759855193	0.0201846020207917	0.0520115649027388	NEUTRAL	ALLEVIATING	-3.57572097671473	-0.031826962881947	0.00714152247967759
CLA4	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-28.143852634181	1.76637843292628	-0.254634577321609	0.0156330333611595	AGGRAVATING	NEUTRAL	-21.3540165712487	-0.270267610682769	4.67990210079821e-75
CSM3	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-20.2213162251705	3.55264707287002	-0.248601243290087	0.0400401441578959	AGGRAVATING	NEUTRAL	-17.3063534955273	-0.288641387447983	1.17492330114695e-49
MAG1	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-4.25510356585951	8.89350621739719	-0.0350421818512182	0.107800914092438	NEUTRAL	ALLEVIATING	-9.74756131476751	-0.142843095943656	2.36529671191989e-16
MMS1	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-2.00063718597714	7.14889048220859	-0.022589895249632	0.118210053046029	NEUTRAL	ALLEVIATING	-7.03195584756249	-0.140799948295661	6.5818047293789e-09
MMS4	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-22.2682463345598	5.51519107354035	-0.245068916986786	0.0637715252856606	AGGRAVATING	ALLEVIATING	-19.347276792353	-0.308840442272447	9.49072522504473e-62
MUS81	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-14.5634505071125	4.96955579445708	-0.191309962820679	0.0684364346994321	AGGRAVATING	ALLEVIATING	-13.6480698911336	-0.259746397520111	2.60949787897189e-31
CSM3	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	-27.6224326294843	2.5038408519299	-0.232066858676603	0.0197376431228159	AGGRAVATING	NEUTRAL	-21.8568920534704	-0.251804501799419	1.37348270911461e-78
MAG1	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	2.61871545555086	11.144763455627	0.0170167363426162	0.095288160583094	NEUTRAL	ALLEVIATING	-7.2884369416809	-0.0782714242404778	1.71499367131637e-09
MMS1	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	-9.1560496877602	10.3561448520882	-0.0802268094431153	0.106635647827844	AGGRAVATING	ALLEVIATING	-13.8208022701769	-0.186862457270959	4.41378195397872e-32
MMS4	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	-27.2656628990484	10.8583344892392	-0.230608703163874	0.0982096223366588	AGGRAVATING	ALLEVIATING	-26.5538589491626	-0.328818325500533	2.67392880231743e-115
MUS81	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	-23.8611656396476	12.9120110359472	-0.225345920613081	0.114565505633003	AGGRAVATING	ALLEVIATING	-26.2312703734214	-0.339911426246083	1.21901640064021e-112
CLA4	RAD51	NoDrug	MMS	DNA_repair	DNA_repair	0.97647339111979	-14.5592456093472	0.00858732601815804	-0.426340225362858	NEUTRAL	AGGRAVATING	14.2248701228824	0.434927551381016	7.42708384338266e-34
MAG1	RAD51	NoDrug	MMS	DNA_repair	DNA_repair	-1.13207242081585	-7.56389001049206	-0.0131394673669067	-0.366132571147968	NEUTRAL	AGGRAVATING	7.09143541478089	0.352993103781062	5.08374713384859e-09
MMS1	RAD51	NoDrug	MMS	DNA_repair	DNA_repair	-4.41835491590353	-6.75286893282273	-0.0524241727138143	-0.157417957399279	NEUTRAL	AGGRAVATING	4.01396356886261	0.104993784685465	0.00202061372842057
PSY3	RAD51	NoDrug	MMS	DNA_repair	DNA_repair	2.86157421148338	9.00759072475319	0.0161745972401499	0.0677688015435434	NEUTRAL	ALLEVIATING	-5.48278071552745	-0.0515942043033935	9.32998955120757e-06
RAD18	RAD51	NoDrug	MMS	DNA_repair	DNA_repair	-1.9980574963485	6.19816497420512	-0.0186110480270876	0.0863840117863451	NEUTRAL	ALLEVIATING	-6.26345744428864	-0.104995059813433	3.10491926955334e-07
RAD5	RAD51	NoDrug	MMS	DNA_repair	DNA_repair	-22.244433106277	12.060616252988	-0.342493477271958	0.120290426545709	AGGRAVATING	ALLEVIATING	-25.226702479718	-0.462783903817667	2.50955849385925e-104
CLA4	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	3.68930419445206	-14.1488736422172	0.0228058633304948	-0.139277378087627	NEUTRAL	AGGRAVATING	13.9441747074569	0.162083241418122	1.36225133114e-32
CSM2	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	0.959857344922203	6.55605951378499	0.00554341325259303	0.0508885039893064	NEUTRAL	ALLEVIATING	-4.68689684855263	-0.0453450907367134	0.000203066143385897
CSM3	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	3.17063180295564	10.1073502754266	0.0187068884123585	0.078341946538168	NEUTRAL	ALLEVIATING	-6.12202458277235	-0.0596350581258095	6.06646191582319e-07
MAG1	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	-0.964333035852416	-11.8838563032637	-0.00710766469235688	-0.202297662241558	NEUTRAL	AGGRAVATING	10.5223484688529	0.195189997549201	6.91316529567299e-19
MMS4	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	3.65333824812767	11.0677274410895	0.0232928929963265	0.0948943939394311	NEUTRAL	ALLEVIATING	-6.70128759336617	-0.0716015009431046	3.63435835562682e-08
RAD18	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	0.940796231607643	11.2867956833256	0.00771909777953193	0.133591748922621	NEUTRAL	ALLEVIATING	-8.74003625391139	-0.125872651143089	2.68159727701056e-13
RAD5	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	-24.8354454582509	14.8188005511243	-0.273574866788585	0.129473719559763	AGGRAVATING	ALLEVIATING	-28.6666903517597	-0.403048586348349	2.7259025557696e-134
CLA4	RAD55	NoDrug	MMS	DNA_repair	DNA_repair	2.48110858092578	-19.3816771098552	0.0177117037681545	-0.417936745161715	NEUTRAL	AGGRAVATING	19.1793871102195	0.43564844892987	1.07211603567744e-60
MAG1	RAD55	NoDrug	MMS	DNA_repair	DNA_repair	-1.91190767084548	-7.01371876893213	-0.0172288648887174	-0.158604497381644	NEUTRAL	AGGRAVATING	5.80769138883597	0.141375632492926	2.50146971545141e-06
RAD18	RAD55	NoDrug	MMS	DNA_repair	DNA_repair	-15.3071549487613	8.44216619681132	-0.220068468832651	0.102034642321582	AGGRAVATING	ALLEVIATING	-17.1493497287937	-0.322103111154233	8.27566619820076e-49
RAD5	RAD55	NoDrug	MMS	DNA_repair	DNA_repair	-27.9582117664106	10.5377265923785	-0.326880355773044	0.0890010116744556	AGGRAVATING	ALLEVIATING	-28.8340447045564	-0.4158813674475	9.11369733476321e-136
CLA4	RAD57	NoDrug	MMS	DNA_repair	DNA_repair	-1.74284308471901	-15.5830290620226	-0.0168269228351571	-0.449014367360151	NEUTRAL	AGGRAVATING	14.2219141170606	0.432187444524993	7.51048419538043e-34
MAG1	RAD57	NoDrug	MMS	DNA_repair	DNA_repair	-3.54111216646198	-11.4382401274619	-0.0390583994737118	-0.461409521227751	NEUTRAL	AGGRAVATING	10.099262812164	0.422351121754039	1.81606224939569e-17
MMS4	RAD57	NoDrug	MMS	DNA_repair	DNA_repair	1.29676241053969	7.03649805567627	0.0147213252863532	0.102902876823435	NEUTRAL	ALLEVIATING	-4.76314552945825	-0.0881815515370814	0.000155868685418095
RAD54	RAD57	NoDrug	MMS	DNA_repair	DNA_repair	3.42952608150381	8.61698284263228	0.0360768022477208	0.123729957089549	NEUTRAL	ALLEVIATING	-4.92436692433443	-0.0876531548418286	8.63294756314296e-05
CLA4	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	-3.65750057434847	-35.4160186156576	-0.0247431087114896	-0.324785191968099	NEUTRAL	AGGRAVATING	26.3290986338558	0.30004208325661	2.34849102582085e-113
MMS4	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	4.12244054027696	11.3786957013897	0.0285366646865305	0.10125369195043	NEUTRAL	ALLEVIATING	-6.45000916603368	-0.0727170272638994	1.29107684555647e-07
MUS81	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	0.231099393470542	6.3356346490788	0.00167772655646107	0.0593101295260058	NEUTRAL	ALLEVIATING	-4.864938444802	-0.0576324029695447	0.000107754417039633
RAD18	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	-26.3495776319012	5.51786174078658	-0.235542127764923	0.0531343353634511	AGGRAVATING	ALLEVIATING	-21.970822977028	-0.288676463128374	2.21612285223749e-79
RAD5	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	-29.5181162735405	4.76738380085148	-0.230604762058898	0.0391925531202833	AGGRAVATING	NEUTRAL	-23.7896988906174	-0.269797315179182	6.51342969754077e-93
RAD51	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	5.65076845973328	8.85332880947016	0.0424593215391355	0.086625361630875	NEUTRAL	ALLEVIATING	-3.58004215024468	-0.0441660400917395	0.00709996461616469
RAD54	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	-0.858388180453258	7.53027318170685	-0.00513634147156722	0.0559996692084223	NEUTRAL	ALLEVIATING	-6.40500195036964	-0.0611360106799895	1.59836723203196e-07
RAD55	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	-28.6257266300659	6.97899727323272	-0.237791435140216	0.0604053829082047	AGGRAVATING	ALLEVIATING	-24.8567096535556	-0.29819681804842	2.46559807161511e-101
CSM3	RAD61	NoDrug	MMS	DNA_repair	DNA_repair	-21.152154052666	-4.55567963836594	-0.309953881628491	-0.0489429226344938	AGGRAVATING	NEUTRAL	-14.3650436427929	-0.261010958993998	1.56492825976618e-34
CLA4	RTT101	NoDrug	MMS	DNA_repair	DNA_repair	-5.79269741151914	-17.8025104783468	-0.0423949495031587	-0.562500268697779	NEUTRAL	AGGRAVATING	16.0361929278595	0.52010531919462	9.3146531994093e-43
RAD18	RTT101	NoDrug	MMS	DNA_repair	DNA_repair	0.790837212338202	7.86515048059528	0.00605904033148621	0.0895191312246021	NEUTRAL	ALLEVIATING	-6.08301493447018	-0.0834600908931158	7.15454202988402e-07
RAD5	RTT101	NoDrug	MMS	DNA_repair	DNA_repair	3.70980528146394	12.453806477467	0.0252222893855863	0.113781858062049	NEUTRAL	ALLEVIATING	-7.77628221450574	-0.0885595686764631	1.0830698603081e-10
RAD51	RTT101	NoDrug	MMS	DNA_repair	DNA_repair	0.192583600465938	-10.018334000439	0.00176550039375322	-0.277889114914802	NEUTRAL	AGGRAVATING	9.57271234710798	0.279654615308556	8.80534643859218e-16
RAD55	RTT101	NoDrug	MMS	DNA_repair	DNA_repair	3.17225618951775	7.33427920888482	0.0246291810174624	0.0820210264308657	NEUTRAL	ALLEVIATING	-4.21561981353131	-0.0573918454134034	0.00104883399653629
RAD57	RTT101	NoDrug	MMS	DNA_repair	DNA_repair	0.918448857893815	-11.665164248086	0.00958375361287862	-0.293345560944212	NEUTRAL	AGGRAVATING	11.126418498428	0.30292931455709	4.90146330572203e-21
CSM2	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	2.04311047404121	-18.0279225997277	0.0125665751600525	-0.185354202800735	NEUTRAL	AGGRAVATING	16.5197717245789	0.197920777960788	2.64993878991901e-45
MAG1	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	-2.8931262028773	-7.4689236366616	-0.0294996460926468	-0.183815670345146	NEUTRAL	AGGRAVATING	5.79278117525332	0.154316024252499	2.60272934975874e-06
PSY3	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	-2.50219777188392	-34.4225893455029	-0.013190742237695	-0.355048028485822	NEUTRAL	AGGRAVATING	29.512478051615	0.341857286248127	7.36491328089052e-142
RAD18	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	1.07140771473817	7.7713257234463	0.00829130161830635	0.0911904482379546	NEUTRAL	ALLEVIATING	-5.89765337623268	-0.0828991466196483	1.64818152767561e-06
RAD5	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	-12.8563725952145	9.45365475103374	-0.0884339573899638	0.082076393572724	AGGRAVATING	ALLEVIATING	-15.3936893581138	-0.170510350962688	1.57970517892015e-39
RAD54	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	2.29994377799014	-7.10654461635116	0.0165492953155997	-0.0911647682676249	NEUTRAL	AGGRAVATING	7.32324576505581	0.107714063583225	1.49171792972661e-09
RAD55	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	1.1509717911491	-5.95443699883377	0.0102645849285696	-0.11232090556246	NEUTRAL	AGGRAVATING	5.8750814505227	0.12258549049103	1.87648542404348e-06
RAD57	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	1.26600355918573	-7.06173832606537	0.0129839425930617	-0.131835819312858	NEUTRAL	AGGRAVATING	6.7988609051196	0.14481976190592	2.35251776582481e-08
RAD61	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	0.955592220331819	-17.0405854618399	0.00852822664394937	-0.418396561547196	NEUTRAL	AGGRAVATING	16.3418699256336	0.426924788191145	2.2802589356122e-44
RTT101	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	-14.2082034658962	2.41587119339078	-0.355783080533683	0.0296229171637464	AGGRAVATING	NEUTRAL	-13.8229186610237	-0.385405997697429	4.39860939494398e-32
CLA4	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	-0.859813396106348	-21.1927142361843	-0.00616083039061431	-0.238248958579923	NEUTRAL	AGGRAVATING	17.4092067519294	0.232088128189309	3.49349439335589e-50
CSM2	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	3.47082422539511	12.1093575690187	0.0197200886672028	0.0858699911291411	NEUTRAL	ALLEVIATING	-7.27992402224899	-0.0661499024619383	1.77742186326901e-09
CSM3	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	-28.4764667904242	0.371089869147195	-0.316134452212984	0.00299491797084189	AGGRAVATING	NEUTRAL	-23.2514025120098	-0.319129370183826	8.42788824088894e-89
MAG1	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	-2.27961494916141	-10.6415147746425	-0.0177007202292417	-0.154349009567562	NEUTRAL	AGGRAVATING	8.30584928145837	0.136648289338321	4.52514967708873e-12
RAD5	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	5.94334696348472	20.6397597828092	0.0352907576857567	0.152393298873556	NEUTRAL	ALLEVIATING	-12.3592203655371	-0.117102541187799	7.9219321115705e-26
RAD52	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	3.62892021627945	11.7770553614055	0.0452806467447765	0.191651689452444	NEUTRAL	ALLEVIATING	-7.13780808498885	-0.146371042707667	3.82131176614003e-09
RAD57	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	3.10493394330477	7.8135622977694	0.0280385523261536	0.0904114027251657	NEUTRAL	ALLEVIATING	-4.24947914215321	-0.0623728503990121	0.000942095795032051
RTT101	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	-21.2524423435976	5.02090755697773	-0.227564083989758	0.0462810887151131	AGGRAVATING	NEUTRAL	-19.3822165107177	-0.273845172704871	5.96906021688692e-62
CLA4	SHU1	NoDrug	MMS	DNA_repair	DNA_repair	2.73238965800519	-18.9678143366022	0.0149684459185695	-0.15305586190313	NEUTRAL	AGGRAVATING	17.2277995042899	0.1680243078217	3.4084670214007e-49
MAG1	SHU1	NoDrug	MMS	DNA_repair	DNA_repair	-5.23953581543646	-19.9042110583482	-0.0328748570269423	-0.248198456226458	NEUTRAL	AGGRAVATING	15.4251835259591	0.215323599199515	1.22790299730703e-39
RAD51	SHU1	NoDrug	MMS	DNA_repair	DNA_repair	2.04570549340447	8.49001608317988	0.0144437391434595	0.0820129561379772	NEUTRAL	ALLEVIATING	-5.64716194739335	-0.0675692169945177	4.60857793777155e-06
RAD54	SHU1	NoDrug	MMS	DNA_repair	DNA_repair	2.58091291389002	8.43301404770244	0.0154668525557048	0.0708505900781515	NEUTRAL	ALLEVIATING	-5.36670427507229	-0.0553837375224468	1.514815555234e-05
