Barcode_i	Barcode_j	Chromosomal_distance_bp	Remove_by_Chromosomal_distance_or_SameGene	Type_of_gene_i	Type_of_gene_j	SOJ_E_NoMMS	SOJ_E_MMS	SOJ_Class_NoMMS	SOJ_Class_MMS	GIS_ij.NoDrug	GIS_ij.DMSO	GIS_ij.MMS	GIS_ij.4NQO	GIS_ij.BLMC	GIS_ij.ZEOC	GIS_ij.HYDX	GIS_ij.DXRB	GIS_ij.CMPT	GIS_ij.CSPL	Z_GIS_ij.NoDrug	Z_GIS_ij.DMSO	Z_GIS_ij.MMS	Z_GIS_ij.4NQO	Z_GIS_ij.BLMC	Z_GIS_ij.ZEOC	Z_GIS_ij.HYDX	Z_GIS_ij.DXRB	Z_GIS_ij.CMPT	Z_GIS_ij.CSPL	SE_GIS_ij.NoDrug	SE_GIS_ij.DMSO	SE_GIS_ij.MMS	SE_GIS_ij.4NQO	SE_GIS_ij.BLMC	SE_GIS_ij.ZEOC	SE_GIS_ij.HYDX	SE_GIS_ij.DXRB	SE_GIS_ij.CMPT	SE_GIS_ij.CSPL	FDR.Internal_ij.NoDrug	FDR.Internal_ij.DMSO	FDR.Internal_ij.MMS	FDR.Internal_ij.4NQO	FDR.Internal_ij.BLMC	FDR.Internal_ij.ZEOC	FDR.Internal_ij.HYDX	FDR.Internal_ij.DXRB	FDR.Internal_ij.CMPT	FDR.Internal_ij.CSPL	Z_GIS_ij.NoDrug_Class	Z_GIS_ij.DMSO_Class	Z_GIS_ij.MMS_Class	Z_GIS_ij.4NQO_Class	Z_GIS_ij.BLMC_Class	Z_GIS_ij.ZEOC_Class	Z_GIS_ij.HYDX_Class	Z_GIS_ij.DXRB_Class	Z_GIS_ij.CMPT_Class	Z_GIS_ij.CSPL_Class
APT2	APT2	0	YES	Neutral	Neutral	NA	NA	NA	NA	-0.496921433888894	-0.74039392060993	-0.713323219489631	-0.880520706286597	-0.851471544204676	-0.801180475972572	-0.838212145901512	-0.810737825054248	-0.840225102061243	-1.01721628103247	-45.7247247684668	-45.4357104641153	-52.2183302822186	-44.2131513995278	-53.427644811684	-49.7058467605192	-56.2850806295392	-54.1742891737535	-48.8889516096984	-54.8986658714159	0.010867674685963	0.0162954185825857	0.0136603988605996	0.0199153572729946	0.0159369095756673	0.0161184353187388	0.014892261617577	0.0149653615657783	0.0171864004932878	0.0185289799831384	0	2.08473994003107e-267	0	0	4.61947325035218e-219	2.24310771999552e-235	1.51366124824554e-264	5.39551031859618e-257	5.82001631371956e-219	1.2693230231805e-277	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING
APT2	CLA4	NA	no	Neutral	DNA_repair	NA	NA	NA	NA	0.0329276499891306	0.0314145675902956	0.0269890490463914	0.0241862917590213	0.0265528126670762	0.0325055558787669	0.034603808986224	0.0474508334967401	0.0757317758165739	0.0619129693743806	5.82384471359589	3.87669440371875	3.73635222299829	2.36088663422959	3.26689313991926	3.72415664985107	4.0957578471947	5.61318603341648	7.50213799598532	5.88973391083837	0.00565393680780333	0.00810344182924526	0.00722336852512626	0.0102445798999213	0.0081278485490139	0.00872829983670715	0.00844869503452825	0.00845345819900771	0.0100946924539512	0.0105120146871911	2.88703823962644e-05	0.157127659432618	0.0980904766066104	0.317580487497528	0.407716432917803	0.148735235997475	0.236780675684507	0.0118119068145352	0.000223703413623679	0.00931820406635507	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL
CLA4	CLA4	0	YES	DNA_repair	DNA_repair	NA	NA	NA	NA	-0.436483536832021	-0.693573523260283	-0.658142140474098	-0.733428909798634	-0.752975461269686	-0.75647601517038	-0.774966142101403	-0.67489463450344	-0.545222456626451	-0.600500995166875	-22.6017523651866	-22.9371620212992	-24.3059113040946	-20.797494500397	-25.4055561083245	-22.338148256796	-24.5876144566656	-18.0347537311656	-9.50807223668497	-11.6044465419546	0.0193119334191244	0.0302379833484299	0.0270774517457911	0.0352652532152194	0.0296382200042834	0.033864759355791	0.0315185575838291	0.0374218935597198	0.057343112573632	0.0517474911876092	1.69377967288242e-78	1.3954863440443e-67	6.00548859611184e-84	4.87166916717274e-88	1.57136477697028e-48	2.18905276152501e-46	1.81878369593605e-49	3.81415025807555e-28	1.39070313066109e-08	1.63351821724172e-12	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING
APT2	CSM2	NA	no	Neutral	DNA_repair	NA	NA	NA	NA	0.011817137384457	0.00932831806087014	-0.00609038932612454	-0.00359154373196894	0.0227076788978853	0.0131657591336917	0.0253896149604762	0.00288774254953639	0.013705951884598	0.00822208715642569	2.00132181677016	1.08999883539138	-0.820280660889225	-0.342727982349264	2.28023087038007	1.44923605644586	2.79166291016154	0.351675233917054	1.46783857793021	0.828985439168105	0.00590466624879357	0.00855809910798732	0.00742476278731508	0.0104792836212274	0.00995849990141582	0.00908462018670702	0.00909479968661654	0.00821139014360472	0.00933750624263104	0.00991825280390526	0.139132030565358	0.572110542954661	0.080785057939377	0.515490200070038	0.396474308898938	0.361915738069416	0.704907567739056	0.444571648292972	0.241683942368445	0.646221891176453	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL
CLA4	CSM2	NA	no	DNA_repair	DNA_repair	0.042223	-0.131099	NEUTRAL	AGGRAVATING	0.0207287085032291	0.0233218554391399	-0.237257247400829	-0.00701926515311873	0.0194303356583108	-0.901456053111816	-0.898157748607578	-0.612977300682459	-0.0530697766103771	-0.817542210278739	4.64340828391983	3.68109558007118	-36.2321337636021	-0.881905117143895	2.30607827588071	-10.4253338477244	-19.7467293933708	-36.0633042577251	-6.49810152623644	-7.8353750938452	0.00446411498532508	0.00633557454074284	0.00654825489850591	0.00795920674080117	0.00842570517294786	0.0864678355896089	0.0454838738464254	0.0169972583849178	0.00816696636642332	0.104339894451375	0.00483541566504409	0.157127659432618	8.84516038662286e-183	0.670797876498501	0.552331965992949	1.05333333140587e-09	3.11820319618702e-29	2.0479082998119e-108	0.000598170787673037	4.18657375276868e-05	NEUTRAL	NEUTRAL	AGGRAVATING	NEUTRAL	NEUTRAL	AGGRAVATING	AGGRAVATING	AGGRAVATING	NEUTRAL	NEUTRAL
CSM2	CSM2	0	YES	DNA_repair	DNA_repair	NA	NA	NA	NA	-0.470837767790419	-0.753975727693559	-0.683546268710999	-0.831319913376033	-0.600341578935094	-0.634934585516774	-0.642248882471546	-0.782443788542843	-0.792910885448524	-0.94095814506298	-28.6754710081105	-29.1257806593542	-25.3069738026258	-30.0295553396604	-22.9074753197714	-28.7108058775836	-27.1409061063739	-30.1913926549085	-29.7069709728978	-29.3057222766546	0.0164195303943656	0.0258868847675473	0.0270101938715436	0.0276833907120196	0.026207234562289	0.0221148298039418	0.0236635018725744	0.0259161211106184	0.0266910714718074	0.032108341714975	2.19073412897817e-125	1.12020128494025e-109	8.19482441096304e-89	2.77146981815486e-180	3.2154845428193e-40	4.78591125909906e-78	5.26484341883499e-61	4.16646153118199e-79	2.43637857872108e-80	9.3459806455653e-78	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING
APT2	CSM3	NA	no	Neutral	DNA_repair	NA	NA	NA	NA	0.00896980621362002	0.019779307781396	0.0135145428265189	0.0169478989338012	-0.020488051647299	-0.00712578665171532	0.000716797807411779	0.0232225929471691	0.0638247269424117	0.0200107412271069	1.77443965232468	2.66310833100544	2.09047542700479	1.85691191525776	-2.95249556816715	-0.996734344468223	0.102610479273441	3.2430900275919	6.17768264771723	2.26946581451493	0.00505500776082677	0.00742715102916166	0.00646481783614285	0.00912692669724648	0.00693923197318043	0.00714913325828766	0.00698561991413788	0.00716063777125937	0.0103314997843076	0.00881737944635393	0.296740107642097	0.170049177592202	0.179638367958679	0.562505235628477	0.31908883033244	0.279553715489954	0.709138718583027	0.0607487131039377	1.84782243892961e-05	0.400607162547348	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL
CLA4	CSM3	NA	no	DNA_repair	DNA_repair	0.031025	-0.019782	NEUTRAL	NEUTRAL	-0.0280041357221347	-0.0539723671532944	-0.0361111336651038	-0.395914693629691	-0.0442369269410696	-0.303322021181413	-0.0128999925378264	-0.0223559307832859	0.0654883431933372	-0.278057282713826	-5.91089431855618	-7.75365816815185	-5.79680114290435	-33.0810340655501	-6.98571082725346	-33.9760634936014	-1.85520415152423	-2.94213505359146	6.11967608407157	-23.4430061428653	0.00473771551526827	0.00696089071542848	0.00622949326272924	0.0119680265388677	0.0063324875642558	0.00892752102486905	0.00695340861933055	0.00759853996368931	0.010701276063253	0.0118609909078768	0.000105799251249865	4.899974623474e-07	0.000433203609389656	5.98134492398278e-220	0.000246007558414738	4.67305873565198e-100	0.372706398646897	0.0104937943033979	0.00723615381829458	2.49389046508636e-45	NEUTRAL	NEUTRAL	NEUTRAL	AGGRAVATING	NEUTRAL	AGGRAVATING	NEUTRAL	NEUTRAL	NEUTRAL	AGGRAVATING
CSM2	CSM3	NA	no	DNA_repair	DNA_repair	-0.030523	0.017655	NEUTRAL	NEUTRAL	-0.00911163534138247	-0.0258580016928344	-0.00696094841150631	-0.0326214642497109	0.000871760720514436	-0.0230594741312683	0.0041471906475001	-0.00592219868843392	0.0220376052077614	-0.0141697670745078	-2.07856056753618	-3.96699667669713	-1.1795037963458	-4.11942721364167	0.11634716968796	-3.3552673348587	0.563067815911862	-0.912813757228785	2.49712229503354	-1.75294903379221	0.00438362753710031	0.00651828166248009	0.00590159051040946	0.00791893206455582	0.00749275399524092	0.00687261902850416	0.00736534841861618	0.00648784994916504	0.00882520061255767	0.00808338793732862	0.566550156742696	0.0581335326056193	0.0741577021806287	0.00100119380441479	0.441424579648523	0.198310701826016	0.704907567739056	0.404647588682034	0.00846710041077848	0.510933432574167	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL
CSM3	CSM3	0	YES	DNA_repair	DNA_repair	NA	NA	NA	NA	-0.402135132908755	-0.603676709395242	-0.549331113533518	-0.672036639961267	-0.739786775336659	-0.695554939655482	-0.675120337254109	-0.598106170304366	-0.442385547727653	-0.755927175561626	-12.7369432005616	-12.1783077137655	-12.2017680008158	-11.5395237353957	-19.9719130581443	-17.2989215236439	-16.3837141836075	-12.4582260041719	-7.52988125019318	-12.3629612590408	0.0315723424825373	0.0495698354470783	0.0450206161514289	0.0582378142609037	0.0370413576898175	0.0402079943946106	0.0412067941181245	0.0480089356304882	0.0587506672454235	0.0611445073492266	8.54610676861509e-25	6.74722414758334e-19	4.38177594448081e-21	4.85767016385221e-27	7.6597382121692e-30	2.75413896544009e-28	5.4624304117821e-22	1.91673208014341e-13	1.69094997836331e-05	4.32265422527286e-14	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	AGGRAVATING	NEUTRAL	AGGRAVATING
