Barcode_x	Barcode_y	C_xy.HetDipl	C_xy.NoDrug	C_xy.DMSO	C_xy.MMS	C_xy.4NQO	C_xy.BLMC	C_xy.ZEOC	C_xy.HYDX	C_xy.DXRB	C_xy.CMPT	C_xy.CSPL	Chromosomal_distance_bp	Remove_by_Chromosomal_distance_or_SameGene	Type_of_gene_x	Type_of_gene_y	SOJ_E_NoMMS	SOJ_E_MMS	SOJ_Class_NoMMS	SOJ_Class_MMS
HO_donor_1	APT2_recipient_1	325	191	175	234	200	242	210	221	217	273	201	1296486	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	GAL2_recipient_1	197	158	150	193	166	165	150	162	169	206	152	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	HO_recipient_1	298	3	3	4	4	4	5	4	4	5	4	0	YES	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	HO_recipient_2	358	4	4	5	4	6	8	7	7	10	9	0	YES	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	MAG1_recipient_1	41	30	28	18	32	28	37	25	32	50	24	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	MAL13_recipient_1	263	182	174	261	196	200	197	195	231	262	179	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	MMS1_recipient_1	56	27	22	18	21	42	43	40	21	12	35	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	MMS4_recipient_1	103	62	60	53	59	81	71	57	41	24	60	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	MPH1_recipient_1	52	32	29	26	25	36	60	26	33	59	33	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	MUS81_recipient_1	35	16	17	16	13	23	22	14	5	0	16	1198053	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	NGL3_recipient_1	1540	1200	1214	1614	1544	1094	978	1123	1182	1260	1137	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	CLA4_recipient_1	127	47	47	59	52	46	53	54	34	32	25	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	NGL3_recipient_2	279	307	285	413	332	243	239	250	313	326	233	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	PSY3_recipient_1	218	241	226	189	249	161	233	172	236	270	233	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	PSY3_recipient_2	517	270	248	212	251	196	296	283	266	271	283	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD18_recipient_1	38	13	12	6	5	16	12	14	16	21	11	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD18_recipient_2	189	96	90	38	28	113	115	100	105	141	79	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD51_recipient_1	41	13	14	12	13	22	20	24	15	17	15	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD52_recipient_1	27	7	7	7	6	21	18	20	10	13	10	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD54_recipient_1	44	13	13	11	10	32	30	30	10	12	15	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD54_recipient_2	215	65	59	51	51	143	117	131	37	40	67	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD55_recipient_1	75	14	14	13	13	27	23	26	9	12	16	550437	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	CSM2_recipient_1	149	131	128	116	126	127	166	121	153	191	123	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD57_recipient_1	157	82	67	49	54	124	90	108	29	26	70	407170	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD59_recipient_1	460	292	323	294	323	188	204	223	324	0	292	296206	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD5_recipient_1	170	92	88	46	30	129	96	106	85	104	68	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD5_recipient_2	434	201	190	96	68	253	222	250	229	249	194	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD61_recipient_1	91	78	77	79	73	101	132	72	103	5	76	426015	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RTT101_recipient_1	57	10	10	8	8	29	38	26	12	7	14	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RTT101_recipient_2	59	15	15	11	13	34	36	34	12	0	20	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RTT107_recipient_1	52	33	33	21	32	47	63	40	19	5	35	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SGS1_recipient_1	188	68	73	57	54	137	140	107	53	40	38	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SHU1_recipient_1	193	155	149	142	106	192	180	145	186	211	151	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	CSM2_recipient_2	295	392	458	344	485	78	239	200	438	510	332	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SHU1_recipient_2	147	134	109	117	131	128	154	121	142	186	130	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SHU2_recipient_1	269	95	88	87	86	98	149	122	131	171	101	554167	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SHU2_recipient_2	300	233	237	212	263	243	263	234	279	368	238	554167	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SLX4_recipient_1	269	262	252	262	256	177	197	179	216	148	207	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SRS2_recipient_1	169	107	122	101	73	150	180	115	116	49	106	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SRS2_recipient_2	287	169	172	179	118	200	307	162	184	84	163	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	YBR259W_recipient_1	496	508	486	682	570	409	423	502	515	550	462	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YCL047C_recipient_1	155	78	77	105	79	87	95	81	100	124	86	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YDL027C_recipient_1	212	144	143	199	155	165	169	151	166	234	146	355664	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YDL027C_recipient_2	371	324	299	432	329	264	300	280	353	461	285	355664	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	CSM3_recipient_1	148	50	47	53	41	87	84	79	47	32	51	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	YFR057W_recipient_1	463	340	309	417	389	184	308	221	380	391	235	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YKR011C_recipient_1	206	214	199	293	272	118	220	170	177	213	175	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YKR011C_recipient_2	201	173	167	239	187	165	192	169	218	267	164	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YLR179C_recipient_1	197	232	236	339	240	138	94	159	203	174	161	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YLR179C_recipient_2	269	256	239	347	261	174	221	232	258	315	230	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YLR356W_recipient_1	436	301	335	449	422	125	213	170	341	336	192	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YLR356W_recipient_2	260	201	181	275	186	200	133	195	234	220	205	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	CSM3_recipient_2	37	12	12	14	14	19	16	14	11	7	11	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	FLO8_recipient_1	206	132	136	211	158	156	212	195	201	269	171	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	FLO8_recipient_2	149	172	168	211	197	115	156	151	162	211	137	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	GAL2_recipient_2	209	231	225	320	256	204	325	260	284	383	210	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	APT2_recipient_1	4840	4748	5178	5765	6018	5338	4899	5318	5185	7340	5194	1296486	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	GAL2_recipient_1	2588	3477	3414	4663	4340	3202	3074	3546	3520	4565	3204	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	HO_recipient_1	4710	81	75	103	100	86	122	95	102	119	102	0	YES	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	HO_recipient_2	4826	98	93	124	109	109	130	111	123	166	138	0	YES	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	MAG1_recipient_1	607	738	690	436	894	517	800	713	705	1018	614	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	MAL13_recipient_1	4146	4524	4289	6019	5290	4060	5019	5440	5307	5857	4773	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	MMS1_recipient_1	847	598	542	417	579	921	859	940	556	238	821	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	MMS4_recipient_1	1546	1630	1499	1312	1369	2052	1825	1771	1188	814	1607	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	MPH1_recipient_1	784	670	617	642	649	477	1248	427	707	1031	750	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	MUS81_recipient_1	502	398	434	384	404	546	517	377	182	18	410	1198053	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	NGL3_recipient_1	20797	29877	29978	39702	41607	26139	24223	28472	29436	31416	29171	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	CLA4_recipient_1	2008	1198	1105	1417	1352	1156	1293	1376	848	838	913	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	NGL3_recipient_2	3962	7337	6588	10283	8413	5731	6826	7282	7033	7149	6497	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	PSY3_recipient_1	2919	6466	6066	4832	5978	3860	4943	4579	5148	7402	5648	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	PSY3_recipient_2	7817	6723	6116	5210	6751	4637	7050	6163	6633	6778	7275	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD18_recipient_1	600	342	299	124	95	337	286	284	325	458	238	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD18_recipient_2	2807	2547	2308	928	621	3281	3232	2494	2772	3598	2627	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD51_recipient_1	587	279	295	297	339	543	443	547	245	262	297	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD52_recipient_1	412	159	181	163	161	468	408	469	152	165	209	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD54_recipient_1	595	296	372	276	281	688	699	700	197	237	347	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD54_recipient_2	3344	1841	1682	1105	1374	3228	2860	3034	1071	1076	1793	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD55_recipient_1	1141	341	353	311	361	602	630	634	224	234	375	550437	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	CSM2_recipient_1	1898	2825	3165	2857	2930	2982	3667	2728	3135	4446	2892	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD57_recipient_1	2378	1771	1646	1210	1473	2989	2317	2861	977	940	1673	407170	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD59_recipient_1	7246	8525	7738	7240	8789	8798	8753	8565	11177	3064	10783	296206	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD5_recipient_1	2263	2296	2180	1021	818	2960	2299	2639	2134	2593	1824	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD5_recipient_2	6558	4999	4700	2169	1869	5915	4991	6192	5253	5740	4560	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD61_recipient_1	1374	1944	1909	1949	1957	2239	3058	1873	2499	294	2003	426015	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RTT101_recipient_1	858	241	255	229	208	658	857	549	304	130	365	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RTT101_recipient_2	896	373	362	271	347	728	835	805	302	28	529	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RTT107_recipient_1	945	920	911	454	889	1118	1538	1070	484	84	811	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SGS1_recipient_1	2341	1677	1854	1391	1459	2911	2957	2729	1389	950	1149	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SHU1_recipient_1	2998	3700	3291	2765	2508	3248	3858	3390	4286	4877	3461	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	CSM2_recipient_2	4733	10987	10033	8859	12523	4056	7172	6705	12045	11675	10015	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SHU1_recipient_2	2341	2898	2675	2887	3166	2548	3254	2669	3335	4132	2920	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SHU2_recipient_1	3471	2372	2184	1946	2307	2250	3514	3055	3186	4176	2608	554167	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SHU2_recipient_2	5119	4885	5508	4461	5751	5031	6106	5204	6614	8504	5420	554167	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SLX4_recipient_1	4487	6514	5463	6441	6889	4032	3550	3763	5430	3962	3956	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SRS2_recipient_1	2131	2666	2696	2477	1977	3355	4185	2917	2894	1384	2768	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SRS2_recipient_2	3638	3582	4247	3837	3126	4073	5232	3229	4559	1728	3401	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	YBR259W_recipient_1	7347	13693	13479	19297	17148	10680	12490	14571	13651	14647	13400	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	YCL047C_recipient_1	2339	1914	1922	2618	2018	1992	2363	2129	2563	3301	2261	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	YDL027C_recipient_1	3205	3593	3527	4903	4170	3623	4076	4279	3968	6187	3864	355664	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	YDL027C_recipient_2	5493	7988	7558	11058	9316	6622	8710	8157	8886	9327	7206	355664	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	CSM3_recipient_1	2104	1245	1156	1296	1094	2076	1847	2060	1447	923	1442	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	YFR057W_recipient_1	7296	8475	7391	10372	10470	4224	6381	6223	9369	12292	8101	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	YKR011C_recipient_1	2521	5406	5287	7519	6833	2801	5692	4288	5088	5810	4580	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	YKR011C_recipient_2	2812	3942	3885	5653	4703	3608	4393	4003	5092	6648	4580	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	YLR179C_recipient_1	2485	4716	5760	6506	7118	4083	3900	5328	6214	5592	5448	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	YLR179C_recipient_2	4073	6367	4946	8544	7036	4743	5190	6220	5629	6845	5738	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	YLR356W_recipient_1	6594	8537	8282	12241	11775	3939	6179	6983	9419	9449	8178	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	YLR356W_recipient_2	3564	4183	3559	5657	4422	3566	2596	3519	5290	5276	4473	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	CSM3_recipient_2	555	305	291	353	332	436	396	369	281	124	291	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	FLO8_recipient_1	3112	3733	3624	5027	4269	3897	4203	3949	3774	5761	4335	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	FLO8_recipient_2	2015	4289	3505	5135	4494	1782	3734	3207	4071	5231	3672	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	GAL2_recipient_2	3164	5746	5548	7877	6909	3408	6113	6208	6653	7943	5050	NA	no	Neutral	Neutral	NA	NA	NA	NA
MAG1_donor_1	APT2_recipient_1	2503	1996	1950	849	2082	2465	1813	2056	1857	2945	2117	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
