Barcode_i	Barcode_j	C_ij.HetDipl	C_ij.NoDrug	C_ij.DMSO	C_ij.MMS	C_ij.4NQO	C_ij.BLMC	C_ij.ZEOC	C_ij.HYDX	C_ij.DXRB	C_ij.CMPT	C_ij.CSPL	GIS_ij.NoDrug	GIS_ij.DMSO	GIS_ij.MMS	GIS_ij.4NQO	GIS_ij.BLMC	GIS_ij.ZEOC	GIS_ij.HYDX	GIS_ij.DXRB	GIS_ij.CMPT	GIS_ij.CSPL	Chromosomal_distance_bp	Remove_by_Chromosomal_distance_or_SameGene	Type_of_gene_i	Type_of_gene_j	SOJ_E_NoMMS	SOJ_E_MMS	SOJ_Class_NoMMS	SOJ_Class_MMS
HO_donor_1	APT2_recipient_1	325	191	175	234	200	242	210	221	217	273	201	0.159129984	0.153297789	0.246547599	0.176659924	0.207634284	0.143962651	0.18294634	0.190679578	0.278383572	0.189574032	1296486	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	GAL2_recipient_1	197	158	150	193	166	165	150	162	169	206	152	0.1318916	0.122420166	0.207059516	0.171552608	0.140111333	0.097873586	0.146572393	0.14470771	0.247071176	0.145201824	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	HO_recipient_1	298	3	3	4	4	4	5	4	4	5	4	-0.60227874	-0.698856201	-0.563016437	-0.587490383	-0.545981275	-0.865726048	-0.543986364	-0.553828702	-0.47043499	-0.519271426	0	YES	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	HO_recipient_2	358	4	4	5	4	6	8	7	7	10	9	-0.618753352	-0.681046925	-0.566317046	-0.583161055	-0.624086872	-0.787577646	-0.578786338	-0.628542311	-0.581789864	-0.618911231	0	YES	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	MAG1_recipient_1	41	30	28	18	32	28	37	25	32	50	24	0.135848594	0.085295567	0.135416363	0.159624708	0.164191746	0.253414177	0.086739472	0.161178841	0.378516643	0.076499168	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	MAL13_recipient_1	263	182	174	261	196	200	197	195	231	262	179	0.149395606	0.15097516	0.307877756	0.183308583	0.169049611	0.145282847	0.165998432	0.253463421	0.279086304	0.163323216	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	MMS1_recipient_1	56	27	22	18	21	42	43	40	21	12	35	0.149779228	0.107909305	0.11453902	0.084946094	0.206557573	0.204948652	0.200506825	0.100450182	0.044190407	0.187800916	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	MMS4_recipient_1	103	62	60	53	59	81	71	57	41	24	60	0.112840575	0.086341678	0.143269675	0.138166537	0.203627138	0.107260542	0.057902207	0.029608475	-0.010815347	0.132753625	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	MPH1_recipient_1	52	32	29	26	25	36	60	26	33	59	33	0.193060674	0.137621574	0.147203223	0.123946216	0.228095978	0.400585347	0.167993309	0.183041879	0.366408833	0.208700651	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	MUS81_recipient_1	35	16	17	16	13	23	22	14	5	0	16	0.08544479	0.08485723	0.135754781	0.075979802	0.127521153	0.127622625	0.023737172	-0.049754359	-0.0451563	0.111802746	1198053	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	NGL3_recipient_1	1540	1200	1214	1614	1544	1094	978	1123	1182	1260	1137	0.110671611	0.108349233	0.239841956	0.183042108	0.08617955	0.043157536	0.099823431	0.104395337	0.163472149	0.11725867	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	CLA4_recipient_1	127	47	47	59	52	46	53	54	34	32	25	0.034743764	0.05149178	0.120466233	0.082271678	-0.006652674	0.050013825	0.074227015	-0.000229707	0.024115712	-0.02791242	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	NGL3_recipient_2	279	307	285	413	332	243	239	250	313	326	233	0.218813712	0.206152111	0.408196034	0.275242883	0.139119868	0.040604454	0.101305641	0.232618654	0.285664495	0.101869289	NA	no	Neutral	Neutral	NA	NA	NA	NA
