Barcode_i	Barcode_j	Condition1	Condition2	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
CLA4	CSM2	NoDrug	MMS	4.64340828391983	-36.2321337636021	0.0207287085032291	-0.237257247400829	NEUTRAL	AGGRAVATING	32.5528265509567	0.257985955904058	8.83913941650278e-33
CSM2	MAG1	NoDrug	MMS	-0.294059621774112	-24.484825280998	-0.00142978147581775	-0.205824819837671	NEUTRAL	AGGRAVATING	21.0475443201993	0.204395038361853	7.58123143592553e-15
MMS1	MMS4	NoDrug	MMS	-3.19804281287221	-10.7436121205825	-0.0241966305340791	-0.160786711288699	NEUTRAL	AGGRAVATING	8.14508532522349	0.13659008075462	0.00281893891401806
CLA4	MPH1	NoDrug	MMS	1.08715568818248	-20.9947624348184	0.00724733841951024	-0.452423749875721	NEUTRAL	AGGRAVATING	20.3782667277973	0.459671088295231	4.82598006692538e-14
MAG1	MPH1	NoDrug	MMS	-3.42598812882027	-11.2074772869287	-0.0299084003887158	-0.299500599401054	NEUTRAL	AGGRAVATING	9.58957002215267	0.269592199012338	0.000426998781674815
CLA4	PSY3	NoDrug	MMS	1.87086175187263	-21.7910220712724	0.00965289138868838	-0.169875869805539	NEUTRAL	AGGRAVATING	19.204058160261	0.179528761194227	1.25454201068055e-12
MAG1	PSY3	NoDrug	MMS	-0.498140331207856	-26.8638068894766	-0.00266258999719365	-0.275407351785209	NEUTRAL	AGGRAVATING	23.5903717283161	0.272744761788016	3.19877255632987e-18
MMS1	PSY3	NoDrug	MMS	-7.47852337115853	-12.8339639371243	-0.0418005746067694	-0.11867447603891	NEUTRAL	AGGRAVATING	7.11469544187277	0.0768739014321403	0.00902806534442344
CLA4	RAD18	NoDrug	MMS	-35.5807121176319	4.72777958619522	-0.231423876950831	0.0356219182102598	AGGRAVATING	NEUTRAL	-26.8289904724796	-0.267045795161091	7.81006597969083e-22
CSM3	RAD18	NoDrug	MMS	-27.7379110857315	3.97506037497986	-0.24808896688633	0.0371569477976059	AGGRAVATING	NEUTRAL	-22.0484529643706	-0.285245914683935	3.9083133153043e-15
MAG1	RAD18	NoDrug	MMS	-9.99885909874377	10.9669754004737	-0.0622664808875889	0.104124815281577	AGGRAVATING	ALLEVIATING	-14.6542789329476	-0.166391296169166	2.85406896775768e-07
MMS1	RAD18	NoDrug	MMS	-4.95535620856579	7.94855905140615	-0.038059676450164	0.098120849479944	NEUTRAL	ALLEVIATING	-9.36670034677467	-0.136180525930108	0.00155386733438758
MMS4	RAD18	NoDrug	MMS	-29.0480501289908	8.32769842975645	-0.229918876883874	0.0782002841659647	AGGRAVATING	ALLEVIATING	-25.0886354103123	-0.308119161049838	3.13102202701834e-19
MUS81	RAD18	NoDrug	MMS	-21.4174198436718	4.46300112543836	-0.206999363096515	0.0484700358513157	AGGRAVATING	NEUTRAL	-17.572221397783	-0.255469398947831	5.08120287591633e-10
CSM3	RAD5	NoDrug	MMS	-38.818276059533	4.61538157400828	-0.243592727942702	0.0324189896288132	AGGRAVATING	NEUTRAL	-29.3038971777937	-0.276011717571515	1.01718805105045e-25
MAG1	RAD5	NoDrug	MMS	-1.65632156875621	11.3082013720884	-0.00854808386091656	0.0824856006169976	NEUTRAL	ALLEVIATING	-10.1879549239254	-0.0910336844779141	0.000524470622648086
MMS1	RAD5	NoDrug	MMS	-18.0316334354185	9.82208317959981	-0.112353437467525	0.080611571580302	AGGRAVATING	ALLEVIATING	-18.7263530050733	-0.192965009047827	2.84839103727509e-11
MMS4	RAD5	NoDrug	MMS	-32.8398269787873	11.0060806607137	-0.208208912891021	0.0818295419367598	AGGRAVATING	ALLEVIATING	-29.6831048788723	-0.290038454827781	2.48891297621174e-26
MUS81	RAD5	NoDrug	MMS	-29.3489536087833	14.3208805034182	-0.213725046793842	0.11279902451106	AGGRAVATING	ALLEVIATING	-30.4392100655544	-0.326524071304903	1.2666901844927e-27
CLA4	RAD51	NoDrug	MMS	1.86740114807549	-19.3845560577305	0.0119852275305155	-0.39126258085783	NEUTRAL	AGGRAVATING	19.0390065958077	0.403247808388345	1.92756116468402e-12
MAG1	RAD51	NoDrug	MMS	-1.265778238125	-10.3520584365642	-0.00974452860385401	-0.368261883782088	NEUTRAL	AGGRAVATING	9.85012071482548	0.358517355178234	0.000297578921023114
RAD18	RAD51	NoDrug	MMS	-0.061411093119525	10.0306976773942	-0.000407217475411037	0.107502073990191	NEUTRAL	ALLEVIATING	-8.5623162225269	-0.107909291465602	0.00422616901895911
RAD5	RAD51	NoDrug	MMS	-31.4087158885556	12.2062728175256	-0.338287196093476	0.0953667690753389	AGGRAVATING	ALLEVIATING	-32.5912573819425	-0.433653965168815	1.66094953414913e-31
CSM3	RAD52	NoDrug	MMS	-9.12463194620907	5.46335741928912	-0.234285651521913	0.0915940304124553	AGGRAVATING	NEUTRAL	-10.6271218959358	-0.325879681934368	0.000288702351327031
CLA4	RAD54	NoDrug	MMS	3.46940214135671	-19.4523660584472	0.0159332817967647	-0.151003418640041	NEUTRAL	AGGRAVATING	18.5084486213753	0.166936700436806	7.37596633627679e-12
MAG1	RAD54	NoDrug	MMS	-0.423932679869647	-16.085318001919	-0.00225470373956619	-0.196599976163008	NEUTRAL	AGGRAVATING	14.5802294137014	0.194345272423441	7.35525543141008e-08
MMS4	RAD54	NoDrug	MMS	5.64225234574982	16.2788547597675	0.0277901007140872	0.108423324666735	NEUTRAL	ALLEVIATING	-9.73395677318785	-0.080633223952648	0.000974277544827942
RAD18	RAD54	NoDrug	MMS	1.60059197097547	17.7711701921995	0.00944550053990205	0.156953144939038	NEUTRAL	ALLEVIATING	-13.8869734287457	-0.147507644399135	1.29346440711876e-06
RAD5	RAD54	NoDrug	MMS	-35.9439098207776	19.1573864518134	-0.258322576309841	0.140081077338551	AGGRAVATING	ALLEVIATING	-38.8584750051259	-0.398403653648392	2.6749739949427e-44
CLA4	RAD55	NoDrug	MMS	3.69205782550683	-24.112265597884	0.0212094789611742	-0.39627299939291	NEUTRAL	AGGRAVATING	23.9800445250344	0.417482478354084	9.33225296667926e-19
MAG1	RAD55	NoDrug	MMS	-1.85949817204604	-8.66757263414605	-0.0126209925829391	-0.150146704686869	NEUTRAL	AGGRAVATING	7.39185479922712	0.13752571210393	0.00666369320938272
RAD18	RAD55	NoDrug	MMS	-22.1676048301599	10.0663411990949	-0.234789911227328	0.101743800509727	AGGRAVATING	ALLEVIATING	-22.9867404362344	-0.336533711737055	2.26476213686333e-16
RAD5	RAD55	NoDrug	MMS	-38.180669294013	12.0464019434434	-0.328375817080603	0.0897423879574525	AGGRAVATING	ALLEVIATING	-36.7466093536205	-0.418118205038056	7.98657853287588e-40
CLA4	RAD57	NoDrug	MMS	0.748542504387496	-21.8029369803803	0.00650159717148161	-0.44870147742717	NEUTRAL	AGGRAVATING	20.3782649480738	0.455203074598652	4.82598006692538e-14
MAG1	RAD57	NoDrug	MMS	-1.51962359665975	-13.6272874426315	-0.0141548600964761	-0.413197353441953	NEUTRAL	AGGRAVATING	12.5802292879077	0.399042493345476	3.62461975633399e-06
CLA4	RAD59	NoDrug	MMS	1.8910129668315	-32.0136889562997	0.0112687101967284	-0.269532384734509	NEUTRAL	AGGRAVATING	27.2231277887995	0.280801094931238	1.30559752512969e-23
RAD18	RAD59	NoDrug	MMS	-31.8096139649642	6.13724780042869	-0.228679318312027	0.0536640102985653	AGGRAVATING	ALLEVIATING	-24.9423193172115	-0.282343328610592	4.69338036411372e-19
RAD5	RAD59	NoDrug	MMS	-36.8626392227254	3.99933514848767	-0.237897945777786	0.030881482968204	AGGRAVATING	NEUTRAL	-26.7084384780794	-0.26877942874599	1.14249765049442e-21
